"infinitive","infinitive_english","mood","mood_english","tense","tense_english","verb_english","form_1s","form_2s","form_3s","form_1p","form_2p","form_3p","gerund","gerund_english","pastparticiple","pastparticiple_english"
"haber","to have; auxiliary","Indicativo","Indicative","Presente","Present","I have","he","has","ha","hemos","habéis","han","habiendo","having","habido","had"
"haber","to have; auxiliary","Indicativo","Indicative","Futuro","Future","I will have","habré","habrás","habrá","habremos","habréis","habrán","habiendo","having","habido","had"
"haber","to have; auxiliary","Indicativo","Indicative","Imperfecto","Imperfect","I had, used to have","había","habías","había","habíamos","habíais","habían","habiendo","having","habido","had"
"haber","to have; auxiliary","Indicativo","Indicative","Pretérito","Preterite","I had","hube","hubiste","hubo","hubimos","hubisteis","hubieron","habiendo","having","habido","had"
"haber","to have; auxiliary","Indicativo","Indicative","Condicional","Conditional","I would have","habría","habrías","habría","habríamos","habríais","habrían","habiendo","having","habido","had"
"haber","to have; auxiliary","Indicativo","Indicative","Pretérito perfecto","Present Perfect","I have had","he habido","has habido","ha habido","hemos habido","habéis habido","han habido","habiendo","having","habido","had"
"haber","to have; auxiliary","Indicativo","Indicative","Futuro perfecto","Future Perfect","I will have had","habré habido","habrás habido","habrá habido","habremos habido","habréis habido","habrán habido","habiendo","having","habido","had"
"haber","to have; auxiliary","Indicativo","Indicative","Pluscuamperfecto","Past Perfect","I had had","había habido","habías habido","había habido","habíamos habido","habíais habido","habían habido","habiendo","having","habido","had"
"haber","to have; auxiliary","Indicativo","Indicative","Pretérito anterior","Preterite (Archaic)","I had had","hube habido","hubiste habido","hubo habido","hubimos habido","hubisteis habido","hubieron habido","habiendo","having","habido","had"
"haber","to have; auxiliary","Indicativo","Indicative","Condicional perfecto","Conditional Perfect","I would have had","habría habido","habrías habido","habría habido","habríamos habido","habríais habido","habrían habido","habiendo","having","habido","had"
"haber","to have; auxiliary","Subjuntivo","Subjunctive","Presente","Present","I have","haya","hayas","haya","hayamos","hayáis","hayan","habiendo","having","habido","had"
"haber","to have; auxiliary","Subjuntivo","Subjunctive","Imperfecto","Imperfect","I had, had had","hubiera","hubieras","hubiera","hubiéramos","hubierais","hubieran","habiendo","having","habido","had"
"haber","to have; auxiliary","Subjuntivo","Subjunctive","Futuro","Future","I will have","hubiere","hubieres","hubiere","hubiéremos","hubiereis","hubieren","habiendo","having","habido","had"
"haber","to have; auxiliary","Subjuntivo","Subjunctive","Pretérito perfecto","Present Perfect","I have had, had had","haya habido","hayas habido","haya habido","hayamos habido","hayáis habido","hayan habido","habiendo","having","habido","had"
"haber","to have; auxiliary","Subjuntivo","Subjunctive","Futuro perfecto","Future Perfect","I will have had","hubiere habido","hubieres habido","hubiere habido","hubiéremos habido","hubiereis habido","hubieren habido","habiendo","having","habido","had"
"haber","to have; auxiliary","Subjuntivo","Subjunctive","Pluscuamperfecto","Past Perfect","I had had","hubiera habido","hubieras habido","hubiera habido","hubiéramos habido","hubierais habido","hubieran habido","habiendo","having","habido","had"
"haber","to have; auxiliary","Imperativo Afirmativo","Imperative Affirmative","Presente","Present","Have!",,"ha","haya","hayamos","habed","hayan","habiendo","having","habido","had"
"haber","to have; auxiliary","Imperativo Negativo","Imperative Negative","Presente","Present","Have!",,"no hayas","no haya","no hayamos","no hayáis","no hayan","habiendo","having","habido","had"
