lemma,pos,popularity_count,rank,source_pos,caps_ratio
be,VERB,32394756,2,v,0.030000
have,VERB,10514314,11,v,0.020000
do,VERB,8186412,15,v,0.100000
say,VERB,4096416,26,v,0.010000
go,VERB,3546732,31,v,0.050000
get,VERB,3347615,34,v,0.070000
can,VERB,3091046,37,v,0.060000
know,VERB,2761628,39,v,0.020000
will,VERB,2372215,47,v,0.030000
so,ADV,2369749,48,r,0.360000
would,VERB,2349400,49,v,0.030000
make,VERB,2290830,50,v,0.040000
just,ADV,2270900,51,r,0.120000
up,ADV,2108756,52,r,0.020000
think,VERB,2077762,53,v,0.030000
time,NOUN,2018725,54,n,0.070000
see,VERB,1958700,56,v,0.070000
out,ADV,1828593,59,r,0.020000
come,VERB,1802158,61,v,0.140000
people,NOUN,1800205,62,n,0.080000
take,VERB,1768822,63,v,0.060000
year,NOUN,1729962,64,n,0.030000
want,VERB,1671524,68,v,0.030000
how,ADV,1666469,69,r,0.290000
now,ADV,1601991,72,r,0.250000
other,ADJ,1539952,74,j,0.040000
could,VERB,1529795,75,v,0.030000
here,ADV,1413594,78,r,0.150000
then,ADV,1344434,79,r,0.210000
look,VERB,1338475,81,v,0.160000
way,NOUN,1260011,82,n,0.030000
more,ADV,1248955,83,r,0.040000
thing,NOUN,1202004,86,n,0.030000
well,ADV,1189096,87,r,0.560000
also,ADV,1142799,89,r,0.070000
use,VERB,1126042,91,v,0.050000
tell,VERB,1119692,92,v,0.070000
good,ADJ,1111721,93,j,0.170000
man,NOUN,1091176,95,n,0.120000
day,NOUN,1068902,96,n,0.070000
find,VERB,1051936,97,v,0.030000
give,VERB,1048189,98,v,0.080000
new,ADJ,1017175,100,j,0.120000
very,ADV,963552,105,r,0.060000
need,VERB,945498,107,v,0.020000
back,ADV,938649,108,r,0.020000
there,ADV,932354,109,r,0.080000
should,VERB,920908,110,v,0.050000
even,ADV,920346,111,r,0.130000
only,ADV,905093,112,r,0.070000
really,ADV,895900,114,r,0.080000
work,VERB,854095,115,v,0.030000
life,NOUN,852257,116,n,0.070000
why,ADV,832911,117,r,0.420000
right,ADV,830729,118,r,0.170000
down,ADV,820294,119,r,0.020000
on,ADV,818739,120,r,0.020000
try,VERB,795248,121,v,0.050000
let,VERB,780929,122,v,0.390000
too,ADV,771375,124,r,0.050000
call,VERB,768117,125,v,0.050000
woman,NOUN,759817,126,n,0.120000
may,VERB,757742,127,v,0.030000
still,ADV,757548,128,r,0.100000
mean,VERB,748840,130,v,0.020000
never,ADV,744608,132,r,0.070000
world,NOUN,732511,134,n,0.180000
in,ADV,726590,135,r,0.100000
feel,VERB,722826,136,v,0.020000
great,ADJ,696589,138,j,0.130000
child,NOUN,685426,140,n,0.080000
ask,VERB,676596,143,v,0.040000
when,ADV,669530,144,r,0.170000
as,ADV,662376,145,r,0.040000
school,NOUN,660191,146,n,0.150000
state,NOUN,638012,147,n,0.250000
talk,VERB,635614,149,v,0.040000
keep,VERB,626487,151,v,0.090000
leave,VERB,622651,152,v,0.050000
put,VERB,616952,153,v,0.070000
like,VERB,614691,154,v,0.070000
help,VERB,606887,155,v,0.050000
big,ADJ,600364,156,j,0.130000
where,ADV,597351,157,r,0.260000
all,ADV,591610,159,r,0.340000
start,VERB,578246,162,v,0.040000
