lemma	gender	article	opposite_gender_word	source	notes
a	m	el		doozan/es-en.data	wiktionary-gender
aaleniano	m	el		doozan/es-en.data	wiktionary-gender
aaronita	mf	el/la		doozan/es-en.data	wiktionary-gender
ababa	f	la		doozan/es-en.data	wiktionary-gender
ababol	m	el		doozan/es-en.data	wiktionary-gender
ababuy	m	el		doozan/es-en.data	wiktionary-gender
ababábite	m	el		doozan/es-en.data	wiktionary-gender
abacalero	m	el	abacalera	doozan/es-en.data	meta-f=+
abacero	m	el	abacera	doozan/es-en.data	meta-f=+
abacería	f	la		doozan/es-en.data	wiktionary-gender
abacho	m	el		doozan/es-en.data	wiktionary-gender
abaciado	m	el		doozan/es-en.data	wiktionary-gender
abaciato	m	el		doozan/es-en.data	wiktionary-gender
abacista	mf	el/la		doozan/es-en.data	wiktionary-gender
abacora	f	la		doozan/es-en.data	wiktionary-gender
abacá	m	el		doozan/es-en.data	wiktionary-gender
abad	m	el		doozan/es-en.data	wiktionary-gender
abada	f	la		doozan/es-en.data	wiktionary-gender
abadejo	m	el		doozan/es-en.data	wiktionary-gender
abadesa	f	la		doozan/es-en.data	wiktionary-gender
abadiato	m	el		doozan/es-en.data	wiktionary-gender
abadí	mf	el/la		doozan/es-en.data	wiktionary-gender
abadía	f	la		doozan/es-en.data	wiktionary-gender
abajadero	m	el		doozan/es-en.data	wiktionary-gender
abajera	f	la		doozan/es-en.data	wiktionary-gender
abajeño	m	el	abajeña	doozan/es-en.data	meta-f=+
abajino	m	el	abajina	doozan/es-en.data	meta-f=+
abajofirmante	mf	el/la		doozan/es-en.data	wiktionary-gender
abajor	m	el		doozan/es-en.data	wiktionary-gender
abakuá	m	el		doozan/es-en.data	wiktionary-gender
abaldonamiento	m	el		doozan/es-en.data	wiktionary-gender
abaleo	m	el		doozan/es-en.data	wiktionary-gender
abalorio	m	el		doozan/es-en.data	wiktionary-gender
abamperio	m	el		doozan/es-en.data	wiktionary-gender
abanación	f	la		doozan/es-en.data	wiktionary-gender
abancalamiento	m	el		doozan/es-en.data	wiktionary-gender
abanderado	m	el	abanderada	doozan/es-en.data	meta-f=+
abanderamiento	m	el		doozan/es-en.data	wiktionary-gender
abandonamiento	m	el		doozan/es-en.data	wiktionary-gender
abandonismo	m	el		doozan/es-en.data	wiktionary-gender
abandonista	mf	el/la		doozan/es-en.data	wiktionary-gender
abandono	m	el		doozan/es-en.data	wiktionary-gender
abandonware	m	el		doozan/es-en.data	wiktionary-gender
abangareño	m	el	abangareña	doozan/es-en.data	meta-f=+
abanicada	f	la		doozan/es-en.data	wiktionary-gender
abanicazo	m	el		doozan/es-en.data	wiktionary-gender
abanico	m	el		doozan/es-en.data	wiktionary-gender
abanillo	m	el		doozan/es-en.data	wiktionary-gender
abano	m	el		doozan/es-en.data	wiktionary-gender
abaratamiento	m	el		doozan/es-en.data	wiktionary-gender
abarca	f	la		doozan/es-en.data	wiktionary-gender
abarraz	m	el		doozan/es-en.data	wiktionary-gender
abarrote	m	el		doozan/es-en.data	wiktionary-gender
abarrotero	m	el	abarrotera	doozan/es-en.data	meta-f=+
abarrotería	f	la		doozan/es-en.data	wiktionary-gender
abasida	m	el		doozan/es-en.data	wiktionary-gender
abastamiento	m	el		doozan/es-en.data	wiktionary-gender
abastecedor	m	el		doozan/es-en.data	wiktionary-gender
abastecimiento	m	el		doozan/es-en.data	wiktionary-gender
abastimiento	m	el		doozan/es-en.data	wiktionary-gender
abasto	m	el		doozan/es-en.data	wiktionary-gender
abasí	m	el		doozan/es-en.data	wiktionary-gender
abate	m	el		doozan/es-en.data	wiktionary-gender
abatimiento	m	el		doozan/es-en.data	wiktionary-gender
abatización	f	la		doozan/es-en.data	wiktionary-gender
abaya	f	la		doozan/es-en.data	wiktionary-gender
abazón	m	el		doozan/es-en.data	wiktionary-gender
abaá	m	el		doozan/es-en.data	wiktionary-gender
abañadura	f	la		doozan/es-en.data	wiktionary-gender
abc	m	el		doozan/es-en.data	wiktionary-gender
abciximab	m	el		doozan/es-en.data	wiktionary-gender
abdesto	m	el		doozan/es-en.data	wiktionary-gender
